Delivery_person_Age,Delivery_person_Ratings,distance,Time_taken_min,order_hour,time_of_day,peak_hour_flag,traffic_level
37,4.9,3.0251492856773803,24,22,Night,0,Medium
34,4.5,20.18352972873287,33,21,Night,1,High
23,4.4,1.552757802255354,26,22,Night,0,Medium
38,4.7,7.790401360105807,21,10,Morning,0,Medium
32,4.6,6.210137965623703,30,20,Evening,1,High
22,4.8,4.610365144356333,26,10,Morning,0,Medium
33,4.7,16.600361127913082,40,14,Afternoon,1,Jam
35,4.6,20.20525323529313,32,9,Morning,0,High
22,4.8,19.97552008622187,34,11,Morning,1,Jam
36,4.2,10.280582064622465,46,18,Evening,1,Jam
21,4.7,6.242318682700942,23,19,Evening,1,Medium
23,4.7,13.787860239172238,21,17,Evening,0,Medium
34,4.3,2.930257800762021,20,14,Afternoon,1,Medium
24,4.7,19.39661829066188,41,9,Morning,0,Jam
29,4.5,13.7639772244273,20,8,Morning,0,Medium
35,4.0,6.218001190187312,33,9,Morning,0,High
33,4.2,16.849939918016943,40,22,Night,0,Jam
34,4.9,10.757108800258177,41,23,Night,0,Jam
21,4.7,4.540574388730574,15,17,Evening,0,Low
25,4.1,12.25607644546856,36,8,Morning,0,Jam
31,4.7,19.61873934880106,26,22,Night,0,Medium
37,5.0,1.5581322655562495,20,8,Morning,0,Medium
33,4.3,20.18063511411397,39,23,Night,0,Jam
25,4.0,6.116971669681921,34,17,Evening,0,Jam
29,4.5,17.075594401072465,15,11,Morning,1,Low
27,5.0,4.47028648943395,18,22,Night,0,Low
35,4.3,13.682044526080338,38,21,Night,1,Jam
32,4.0,13.97318265391717,47,12,Afternoon,1,Jam
23,4.8,16.85361872985407,12,8,Morning,0,Low
31,4.8,4.674172124263596,26,8,Morning,0,Medium
36,4.1,7.601616771071131,22,12,Afternoon,1,Medium
26,4.3,7.720324413180035,21,9,Morning,0,Medium
38,4.9,6.1756362610176,25,15,Afternoon,0,Medium
32,3.5,17.29786575291325,35,11,Morning,1,Jam
32,4.6,19.91468696554527,30,10,Morning,0,High
33,4.9,10.724517748045963,22,12,Afternoon,1,Medium
20,4.7,6.127835452843913,10,15,Afternoon,0,Low
20,4.8,1.5203573134015247,19,10,Morning,0,Medium
35,5.0,3.0734537599374083,11,12,Afternoon,1,Low
26,4.9,3.10513147754577,11,23,Night,0,Low
22,4.8,10.86742683448041,28,16,Afternoon,0,High
35,4.3,10.865464603780303,33,21,Night,1,High
29,4.6,12.23672361659882,33,8,Morning,0,High
37,4.7,13.682516298591963,49,15,Afternoon,0,Jam
28,4.6,16.826241648658563,22,17,Evening,0,Medium
37,4.9,3.0272369309751475,16,11,Morning,1,Low
