restaurant_id,restaurant_name,cuisine_type
1,Amritsari Food Platter,Recommended
2,Domino's Pizza,Flavours of India
3,EatFit,Healthy Bowls
4,Hira Sweets,Tandoor se
5,Burger Farm,Cheese Burst Burger Meals
6,Premjees,SWEETS
7,McDonald's,Group Sharing Combos
8,Anna (Truly Veg),Thali
9,Baskin Robbins - Ice Cream Desserts,Classic & Nuts Ice Creams
10,Pizza Hut,Garlic Bread
11,KFC,EPIC SAVINGS BUCKET FOR 3-4 (UP TO 32% OFF)
12,Burger King,Kings Collection ( Premium Burgers )
13,Dmb(Doodh Misthan Bhandar),Namkeen
14,Mad For Momos,Momos 5 pcs
15,Barbecue by Punjab Grill,Recommended
16,LunchBox  Meals and Thalis,Kulcha Lunchbox
17,Badmaash Kebabi,Tandoori Special
18,China Belly By Wow! Momo,Starter
19,La Pino'z Pizza,DOTD
20,Jay Bhavani Vadapav,Maggi
21,Kwality Walls Ice Cream and More,Cornetto.
22,The Good Bowl,Starters
23,Momo Magic Cafe,Chinese
24,Cheesecake & co.,Cake
25,KFC,Flat 179 Meals/Bucket
26,Burger King,Korean Spicy Fest(Limited Time Only)
27,MOJO Pizza - 2X Toppings,"Thin Crust Pizzas [Big 10""]"
28,House of Idlies,Dinner Special
29,Sweet Truth - Cake and Desserts,Cheesecake Slices
30,Sangeetha's Desi Mane - Annanagar,Special Bread Toast
31,Cafe Cotinga,Coffee
32,Logo Cafe,Breakfast
33,KFC,DESSERTS & BEVERAGES
34,Mughlai Restaurant,Rice
35,Taste With Me !,Rice
36,LunchBox - Meals and Thalis,Upwas Specials
37,Taste With Me !,Combo Item
38,Pizza Hut,"Buy 1 Pizza Get 2 Sides, 1 Pepsi Free"
39,KFC,Recommended
40,KFC,BURGERS
41,Chinese Wok,Recommended
42,Friends Corner,Non Veg Starters
43,NIC Ice Creams,500 Ml Ice Creams
44,RNR Biryani - Taste of 1953,Beverages
45,Lamee,Pork
46,Gopal Mistanna Bhandar,Chaat
47,Pizza Hut,Flash Sale Pizzas
48,Domino's Pizza,Loaded Pizza
49,Domino's Pizza,Dominos Classics
50,Burger King,Recommended
51,Caterspoint,Pasta - Penne | Spaghetti
52,The Phoenix Residency,Indian Breads
53,Labonel Fine Baking,Brownies
54,The Bon Bon Bakers,Pastry
55,Sweet Truth - Cake and Desserts,Recommended
56,Aurora Restaurant & Lodging,Chow
57,Dindigul Thalappakatti - Since 1957,Kebabs & Barbeque
58,Suchali's Artisan Bakehouse,Freshly Baked Breads
