order_id,customer_id,restaurant_id,cost,rating,food_preparation_time,delivery_time,total_time,expected_total_time,delivery_delay,order_hour,time_of_day,peak_hour_flag,traffic_level,delay_category,day_of_the_week,distance_km,speed_kmph,delivery_person_id
1477147,337525,1,30.75,5.0,25,20,45,52.0,-7.0,14,Afternoon,1,Medium,Early,Weekend,13.87,42.6,1
1477685,358141,2,12.08,5.0,25,23,48,52.0,-4.0,11,Morning,1,Medium,On Time,Weekend,9.99,16.6,2
1477070,66393,3,12.23,5.0,23,28,51,52.0,-1.0,20,Evening,1,High,On Time,Weekday,11.55,22.1,3
1477334,106968,4,29.2,3.0,25,15,40,52.0,-12.0,22,Night,0,Low,Early,Weekend,2.95,44.0,4
1478249,76942,5,11.59,4.0,25,24,49,52.0,-3.0,18,Evening,1,Medium,On Time,Weekday,2.22,28.3,5
1477224,147468,6,25.22,3.0,20,24,44,52.0,-8.0,15,Afternoon,0,Medium,Early,Weekday,12.03,32.9,6
1477894,157711,60,6.07,5.0,28,21,49,52.0,-3.0,20,Evening,1,Medium,On Time,Weekend,5.57,30.4,7
1477859,89574,8,5.97,3.0,33,30,63,52.0,11.0,12,Afternoon,1,High,Slightly Delayed,Weekday,8.57,17.9,8
1477174,121706,9,16.44,5.0,21,26,47,52.0,-5.0,14,Afternoon,1,High,Early,Weekday,4.36,21.8,9
1477311,39705,10,7.18,5.0,29,26,55,52.0,3.0,17,Evening,0,High,On Time,Weekday,8.64,22.1,10
1477895,143926,11,5.92,5.0,34,28,62,52.0,10.0,10,Morning,0,High,Slightly Delayed,Weekday,6.61,19.7,11
1478437,221206,12,8.1,5.0,23,22,45,52.0,-7.0,14,Afternoon,1,Medium,Early,Weekend,11.01,36.5,12
1476966,129969,4,24.3,5.0,23,17,40,52.0,-12.0,18,Evening,1,Low,Early,Weekend,12.71,38.8,13
1477449,104548,13,11.3,3.0,24,23,47,52.0,-5.0,18,Evening,1,Medium,Early,Weekend,9.24,38.9,14
1478198,62667,14,12.13,5.0,23,30,53,52.0,1.0,15,Afternoon,0,High,On Time,Weekday,5.15,32.3,15
1477414,66222,15,16.2,5.0,33,25,58,52.0,6.0,12,Afternoon,1,Medium,Slightly Delayed,Weekend,4.93,41.4,16
1477486,104555,16,16.98,5.0,30,16,46,52.0,-6.0,11,Morning,1,Low,Early,Weekend,10.88,37.6,17
1477373,139885,2,33.03,5.0,21,22,43,52.0,-9.0,15,Afternoon,0,Medium,Early,Weekend,6.92,44.9,18
1477138,47280,17,14.12,4.0,25,24,49,52.0,-3.0,15,Afternoon,0,Medium,On Time,Weekend,1.8,20.2,19
1477354,67487,18,16.2,4.0,35,26,61,52.0,9.0,10,Morning,0,High,Slightly Delayed,Weekend,11.46,26.6,20
1478296,250494,19,24.2,4.0,21,24,45,52.0,-7.0,13,Afternoon,1,Medium,Early,Weekend,7.33,34.1,21
1478226,137565,15,15.91,5.0,25,20,45,52.0,-7.0,12,Afternoon,1,Medium,Early,Weekend,3.46,22.0,22
1478287,150599,15,29.1,5.0,21,30,51,52.0,-1.0,9,Morning,0,High,On Time,Weekday,1.69,16.9,23
1478014,54630,20,8.92,5.0,33,16,49,52.0,-3.0,15,Afternoon,0,Low,On Time,Weekend,5.09,28.4,24
1476714,363783,21,15.86,5.0,32,29,61,52.0,9.0,19,Evening,1,High,Slightly Delayed,Weekday,1.94,19.2,25
1476693,41877,21,29.1,5.0,20,29,49,52.0,-3.0,21,Night,1,High,On Time,Weekday,11.52,19.0,26
1476995,371590,60,21.88,5.0,24,27,51,52.0,-1.0,13,Afternoon,1,High,On Time,Weekday,1.89,25.9,27
1476844,175290,22,14.02,5.0,24,16,40,52.0,-12.0,9,Morning,0,Low,Early,Weekend,7.05,27.7,28
1477015,76686,23,9.17,5.0,21,24,45,52.0,-7.0,23,Night,0,Medium,Early,Weekend,6.1,22.6,29
1476889,149984,24,12.18,5.0,20,29,49,52.0,-3.0,19,Evening,1,High,On Time,Weekday,3.13,40.3,30
1478289,318874,25,31.33,5.0,28,25,53,52.0,1.0,12,Afternoon,1,Medium,On Time,Weekend,8.65,23.2,31
1477699,302790,26,29.05,5.0,35,24,59,52.0,7.0,8,Morning,0,Medium,Slightly Delayed,Weekend,7.21,23.3,32
1476855,317794,27,8.39,5.0,35,24,59,52.0,7.0,19,Evening,1,Medium,Slightly Delayed,Weekday,1.5,39.0,33
1477748,105349,28,9.12,5.0,34,18,52,52.0,0.0,17,Evening,0,Medium,On Time,Weekend,12.52,40.9,34
1478244,181782,29,29.1,5.0,30,26,56,52.0,4.0,13,Afternoon,1,High,On Time,Weekend,4.83,27.2,35
1478310,65224,30,15.47,5.0,32,26,58,52.0,6.0,20,Evening,1,High,Slightly Delayed,Weekend,3.37,22.1,36
1478017,148649,18,16.01,4.0,23,31,54,52.0,2.0,19,Evening,1,High,On Time,Weekday,10.02,42.5,37
1476871,118709,60,24.3,4.0,31,29,60,52.0,8.0,16,Afternoon,0,High,Slightly Delayed,Weekday,2.51,25.5,38
1477999,208020,31,29.83,5.0,20,32,52,52.0,0.0,8,Morning,0,High,On Time,Weekday,5.95,17.7,39
1476891,220693,15,19.89,5.0,27,19,46,52.0,-6.0,18,Evening,1,Medium,Early,Weekend,6.4,39.4,40
1477425,378482,32,19.35,4.0,21,18,39,52.0,-13.0,18,Evening,1,Medium,Early,Weekend,7.24,27.6,41
1478143,337525,28,33.22,5.0,23,19,42,52.0,-10.0,22,Night,0,Medium,Early,Weekend,14.68,28.4,42
1477267,133637,33,24.25,5.0,22,15,37,52.0,-15.0,17,Evening,0,Low,Early,Weekend,11.21,40.5,43
1477728,107909,34,16.44,5.0,33,22,55,52.0,3.0,23,Night,0,Medium,On Time,Weekend,5.37,19.3,44
1476908,365237,19,22.75,5.0,30,20,50,52.0,-2.0,19,Evening,1,Medium,On Time,Weekend,13.53,43.4,45
1476581,322162,60,6.74,5.0,29,23,52,52.0,0.0,19,Evening,1,Medium,On Time,Weekend,11.97,40.3,46
1476930,198802,35,29.05,5.0,22,30,52,52.0,0.0,23,Night,0,High,On Time,Weekend,4.67,36.6,47
1477621,122864,36,13.78,4.0,34,24,58,52.0,6.0,22,Night,0,Medium,Slightly Delayed,Weekend,5.33,23.9,48
1478354,52037,4,19.89,5.0,27,24,51,52.0,-1.0,21,Night,1,Medium,On Time,Weekday,2.81,43.4,49
1477251,81110,37,16.93,5.0,33,21,54,52.0,2.0,21,Night,1,Medium,On Time,Weekend,6.91,33.2,50
1477656,300003,38,21.88,5.0,21,19,40,52.0,-12.0,22,Night,0,Medium,Early,Weekend,14.16,39.3,1
1477883,91817,4,29.39,5.0,27,28,55,52.0,3.0,21,Night,1,High,On Time,Weekend,6.14,40.4,2
1477205,112036,28,20.23,5.0,22,20,42,52.0,-10.0,10,Morning,0,Medium,Early,Weekend,7.09,41.8,3
1478107,73895,33,29.1,5.0,22,23,45,52.0,-7.0,19,Evening,1,Medium,Early,Weekend,13.84,38.3,4
1477760,130507,39,22.75,3.0,35,29,64,52.0,12.0,14,Afternoon,1,High,Slightly Delayed,Weekend,14.26,19.6,5
1476562,129486,40,14.12,3.0,31,15,46,52.0,-6.0,11,Morning,1,Low,Early,Weekend,4.57,42.6,6
1477692,313340,24,14.6,3.0,24,24,48,52.0,-4.0,23,Night,0,Medium,On Time,Weekday,10.94,29.9,7
1477889,177250,17,12.23,5.0,25,33,58,52.0,6.0,16,Afternoon,0,Jam,Slightly Delayed,Weekday,1.7,26.8,8
1477243,176234,41,14.02,5.0,20,30,50,52.0,-2.0,10,Morning,0,High,On Time,Weekend,2.89,19.3,9
1477560,371677,4,6.79,5.0,33,28,61,52.0,9.0,12,Afternoon,1,High,Slightly Delayed,Weekday,8.09,18.5,10
1476896,388918,4,24.25,5.0,28,21,49,52.0,-3.0,10,Morning,0,Medium,On Time,Weekend,9.25,24.0,11
1478327,68551,42,33.03,5.0,33,20,53,52.0,1.0,14,Afternoon,1,Medium,On Time,Weekend,5.58,43.6,12
1476820,152786,3,31.38,4.0,23,27,50,52.0,-2.0,12,Afternoon,1,High,On Time,Weekend,3.03,27.8,13
1478121,62980,43,8.34,5.0,22,26,48,52.0,-4.0,16,Afternoon,0,High,On Time,Weekday,4.61,29.1,14
1478077,82041,15,33.03,5.0,22,32,54,52.0,2.0,14,Afternoon,1,High,On Time,Weekday,13.0,16.9,15
1478359,361616,44,24.2,3.0,22,32,54,52.0,2.0,9,Morning,0,High,On Time,Weekday,10.58,20.3,16
1476841,398426,33,12.46,4.0,24,20,44,52.0,-8.0,11,Morning,1,Medium,Early,Weekend,14.98,27.5,17
1477125,130820,45,15.86,5.0,29,23,52,52.0,0.0,16,Afternoon,0,Medium,On Time,Weekend,5.47,40.1,18
1477915,200074,46,14.55,5.0,34,22,56,52.0,4.0,19,Evening,1,Medium,On Time,Weekend,7.35,42.1,19
1477475,65009,4,32.93,5.0,24,23,47,52.0,-5.0,21,Night,1,Medium,Early,Weekend,13.15,15.8,20
1477932,170221,15,16.98,5.0,22,21,43,52.0,-9.0,9,Morning,0,Medium,Early,Weekend,9.94,43.1,21
1476651,58092,15,8.0,5.0,27,23,50,52.0,-2.0,17,Evening,0,Medium,On Time,Weekend,5.65,41.7,22
1477730,50616,29,13.05,5.0,28,27,55,52.0,3.0,16,Afternoon,0,High,On Time,Weekend,8.59,24.8,23
1477518,133202,30,29.05,5.0,31,16,47,52.0,-5.0,17,Evening,0,Low,Early,Weekend,2.57,22.0,24
1477821,277898,47,5.67,4.0,23,31,54,52.0,2.0,12,Afternoon,1,High,On Time,Weekday,12.43,18.9,25
1477104,77341,60,16.93,5.0,30,25,55,52.0,3.0,9,Morning,0,Medium,On Time,Weekend,4.09,25.7,26
1477921,97079,48,29.29,5.0,20,18,38,52.0,-14.0,11,Morning,1,Medium,Early,Weekend,8.21,41.1,27
1477938,150002,25,16.15,5.0,20,29,49,52.0,-3.0,19,Evening,1,High,On Time,Weekend,8.37,20.7,28
1476943,87472,17,22.75,5.0,31,30,61,52.0,9.0,22,Night,0,High,Slightly Delayed,Weekend,4.88,29.4,29
1477581,231061,49,13.34,4.0,34,27,61,52.0,9.0,19,Evening,1,High,Slightly Delayed,Weekend,13.66,41.1,30
1477975,56722,15,9.75,5.0,33,25,58,52.0,6.0,14,Afternoon,1,Medium,Slightly Delayed,Weekend,6.89,25.2,31
1477601,107909,34,6.69,4.0,21,32,53,52.0,1.0,19,Evening,1,High,On Time,Weekday,14.29,44.2,32
1477790,133617,15,4.75,4.0,35,28,63,52.0,11.0,20,Evening,1,High,Slightly Delayed,Weekday,12.01,19.3,33
1477385,67538,32,12.56,5.0,22,18,40,52.0,-12.0,15,Afternoon,0,Medium,Early,Weekend,7.74,41.5,34
1478423,129969,60,21.2,5.0,34,16,50,52.0,-2.0,22,Night,0,Low,On Time,Weekend,1.17,27.5,35
1477051,57174,20,19.31,5.0,27,28,55,52.0,3.0,10,Morning,0,High,On Time,Weekend,1.84,27.6,36
1476796,78939,45,16.3,3.0,20,24,44,52.0,-8.0,21,Night,1,Medium,Early,Weekday,12.56,36.7,37
1478031,309513,22,13.05,5.0,33,27,60,52.0,8.0,8,Morning,0,High,Slightly Delayed,Weekday,6.66,34.6,38
1477740,129798,28,25.27,4.0,24,24,48,52.0,-4.0,11,Morning,1,Medium,On Time,Weekday,1.74,40.7,39
1478384,184085,37,14.79,5.0,35,15,50,52.0,-2.0,9,Morning,0,Low,On Time,Weekend,4.63,23.9,40
1478183,329710,15,5.72,3.0,31,24,55,52.0,3.0,15,Afternoon,0,Medium,On Time,Weekday,4.94,16.9,41
1477569,65009,50,16.15,5.0,24,30,54,52.0,2.0,11,Morning,1,High,On Time,Weekend,14.21,28.5,42
1478211,154030,17,33.03,4.0,26,22,48,52.0,-4.0,9,Morning,0,Medium,On Time,Weekend,13.51,24.2,43
1476635,86731,51,16.2,5.0,31,18,49,52.0,-3.0,21,Night,1,Medium,On Time,Weekend,3.83,35.6,44
1477646,306119,52,9.22,5.0,31,32,63,52.0,11.0,13,Afternoon,1,High,Slightly Delayed,Weekday,2.41,24.1,45
1477027,164016,4,16.39,5.0,27,22,49,52.0,-3.0,13,Afternoon,1,Medium,On Time,Weekend,9.02,35.0,46
1476921,121476,4,12.18,3.0,29,27,56,52.0,4.0,17,Evening,0,High,On Time,Weekday,11.44,20.9,47
1476689,305522,15,24.2,4.0,29,29,58,52.0,6.0,11,Morning,1,High,Slightly Delayed,Weekday,9.41,44.8,48
1477767,68976,36,17.03,3.0,26,30,56,52.0,4.0,13,Afternoon,1,High,On Time,Weekend,13.73,19.6,49
1476582,60703,3,6.79,5.0,33,25,58,52.0,6.0,20,Evening,1,Medium,Slightly Delayed,Weekday,14.14,28.5,50
1478169,80460,53,21.83,3.0,30,27,57,52.0,5.0,22,Night,0,High,On Time,Weekend,8.86,41.0,1
1477702,128600,4,31.29,5.0,22,33,55,52.0,3.0,9,Morning,0,Jam,On Time,Weekday,13.47,28.8,2
1477240,142356,18,11.83,4.0,26,21,47,52.0,-5.0,17,Evening,0,Medium,Early,Weekend,5.37,16.5,3
1476564,83287,19,24.3,5.0,30,20,50,52.0,-2.0,19,Evening,1,Medium,On Time,Weekend,11.79,25.9,4
1478408,134152,60,22.26,5.0,28,25,53,52.0,1.0,9,Morning,0,Medium,On Time,Weekend,3.99,28.2,5
1477824,345899,28,20.47,4.0,26,30,56,52.0,4.0,17,Evening,0,High,On Time,Weekend,5.04,41.3,6
1477617,38050,18,12.18,5.0,28,25,53,52.0,1.0,21,Night,1,Medium,On Time,Weekend,4.83,29.8,7
1477978,259341,54,15.81,5.0,20,26,46,52.0,-6.0,11,Morning,1,High,Early,Weekend,4.48,39.3,8
1477281,309513,22,22.36,5.0,26,27,53,52.0,1.0,21,Night,1,High,On Time,Weekend,1.2,19.9,9
1478223,234089,18,8.68,5.0,34,27,61,52.0,9.0,22,Night,0,High,Slightly Delayed,Weekend,9.53,15.6,10
1477364,125123,15,21.83,5.0,23,22,45,52.0,-7.0,23,Night,0,Medium,Early,Weekend,13.07,38.7,11
1476715,365244,55,16.3,5.0,20,28,48,52.0,-4.0,22,Night,0,High,On Time,Weekday,4.63,41.3,12
1476654,63020,56,12.9,3.0,31,28,59,52.0,7.0,15,Afternoon,0,High,Slightly Delayed,Weekday,13.14,20.2,13
1477296,222879,29,29.15,5.0,23,27,50,52.0,-2.0,21,Night,1,High,On Time,Weekday,6.97,41.8,14
1478321,275535,57,13.05,4.0,31,24,55,52.0,3.0,14,Afternoon,1,Medium,On Time,Weekday,3.25,27.4,15
1477942,49793,58,22.36,5.0,30,16,46,52.0,-6.0,19,Evening,1,Low,Early,Weekend,1.79,29.8,16
1477552,137565,15,31.29,5.0,26,32,58,52.0,6.0,16,Afternoon,0,High,Slightly Delayed,Weekday,6.92,16.8,17
1476770,65009,4,7.86,4.0,22,33,55,52.0,3.0,21,Night,1,Jam,On Time,Weekday,11.3,29.0,18
1476558,214394,58,16.1,5.0,33,27,60,52.0,8.0,15,Afternoon,0,High,Slightly Delayed,Weekend,7.68,26.8,19
1477993,91907,59,16.98,5.0,31,32,63,52.0,11.0,12,Afternoon,1,High,Slightly Delayed,Weekday,10.81,21.0,20
1478072,82041,46,12.95,5.0,26,28,54,52.0,2.0,23,Night,0,High,On Time,Weekend,13.97,33.2,21
1476935,59419,4,11.69,5.0,21,24,45,52.0,-7.0,20,Evening,1,Medium,Early,Weekend,7.34,35.5,22
1477255,50199,19,12.13,5.0,26,15,41,52.0,-11.0,9,Morning,0,Low,Early,Weekend,6.49,39.8,23
1477012,325210,60,12.32,5.0,31,19,50,52.0,-2.0,22,Night,0,Medium,On Time,Weekend,6.03,26.9,24
1477704,100999,61,12.13,5.0,22,27,49,52.0,-3.0,12,Afternoon,1,High,On Time,Weekend,13.89,34.9,25
1477188,146588,16,12.18,5.0,25,24,49,52.0,-3.0,15,Afternoon,0,Medium,On Time,Weekday,1.39,23.0,26
1478348,310051,29,14.99,5.0,34,24,58,52.0,6.0,17,Evening,0,Medium,Slightly Delayed,Weekend,4.29,27.8,27
1477405,128243,60,6.74,5.0,26,30,56,52.0,4.0,16,Afternoon,0,High,On Time,Weekend,2.11,15.5,28
1476826,53543,62,24.3,5.0,20,23,43,52.0,-9.0,19,Evening,1,Medium,Early,Weekend,8.92,24.2,29
1478340,230535,15,10.38,3.0,24,29,53,52.0,1.0,19,Evening,1,High,On Time,Weekend,5.13,32.0,30
1477044,127122,33,6.79,5.0,33,28,61,52.0,9.0,19,Evening,1,High,Slightly Delayed,Weekend,11.07,41.1,31
1476978,177250,17,25.27,5.0,34,28,62,52.0,10.0,20,Evening,1,High,Slightly Delayed,Weekend,2.38,15.5,32
1477287,111125,22,14.99,5.0,29,21,50,52.0,-2.0,16,Afternoon,0,Medium,On Time,Weekend,1.38,43.2,33
1477110,144997,17,29.05,4.0,22,28,50,52.0,-2.0,20,Evening,1,High,On Time,Weekend,10.83,29.3,34
1476555,97991,42,9.65,5.0,25,26,51,52.0,-1.0,22,Night,0,High,On Time,Weekend,12.08,35.4,35
1476862,58533,60,29.2,5.0,31,24,55,52.0,3.0,20,Evening,1,Medium,On Time,Weekend,6.3,35.3,36
1477117,104336,45,5.77,4.0,29,24,53,52.0,1.0,8,Morning,0,Medium,On Time,Weekday,4.46,29.2,37
1478402,232582,62,32.93,3.0,26,28,54,52.0,2.0,16,Afternoon,0,High,On Time,Weekday,4.68,25.8,38
1477431,195927,63,12.13,5.0,30,20,50,52.0,-2.0,14,Afternoon,1,Medium,On Time,Weekend,7.98,27.2,39
1477836,373689,55,12.08,5.0,29,20,49,52.0,-3.0,16,Afternoon,0,Medium,On Time,Weekend,5.26,42.8,40
1477376,370372,4,11.59,5.0,25,24,49,52.0,-3.0,15,Afternoon,0,Medium,On Time,Weekday,11.06,33.8,41
1476835,264707,28,9.56,5.0,21,17,38,52.0,-14.0,8,Morning,0,Low,Early,Weekend,9.55,41.8,42
1477177,42385,64,24.2,5.0,21,26,47,52.0,-5.0,19,Evening,1,High,Early,Weekend,1.91,38.1,43
1478174,104555,16,29.34,5.0,32,25,57,52.0,5.0,15,Afternoon,0,Medium,On Time,Weekday,3.07,38.9,44
1478269,250494,60,11.16,5.0,22,28,50,52.0,-2.0,15,Afternoon,0,High,On Time,Weekday,14.58,25.1,45
1477369,139085,15,24.25,5.0,32,24,56,52.0,4.0,22,Night,0,Medium,On Time,Weekday,7.6,25.4,46
1476969,198309,18,29.2,5.0,22,25,47,52.0,-5.0,18,Evening,1,Medium,Early,Weekend,11.26,37.7,47
1477420,399478,15,14.07,5.0,25,28,53,52.0,1.0,10,Morning,0,High,On Time,Weekend,3.95,26.4,48
1476663,40010,29,19.35,4.0,35,19,54,52.0,2.0,8,Morning,0,Medium,On Time,Weekend,10.0,42.3,49
1477904,48131,17,16.1,4.0,23,29,52,52.0,0.0,15,Afternoon,0,High,On Time,Weekend,13.76,42.7,50
1478219,41692,15,22.8,5.0,30,19,49,52.0,-3.0,10,Morning,0,Medium,On Time,Weekend,1.48,25.1,1
1477206,61305,42,15.23,5.0,30,19,49,52.0,-3.0,10,Morning,0,Medium,On Time,Weekend,3.48,43.9,2
1477337,123780,19,33.03,5.0,29,25,54,52.0,2.0,8,Morning,0,Medium,On Time,Weekend,5.15,43.3,3
1476809,385248,15,12.95,5.0,27,18,45,52.0,-7.0,18,Evening,1,Medium,Early,Weekend,5.38,23.8,4
1477750,97806,15,16.49,5.0,32,22,54,52.0,2.0,12,Afternoon,1,Medium,On Time,Weekend,5.55,40.1,5
1476817,97079,48,29.05,5.0,25,26,51,52.0,-1.0,17,Evening,0,High,On Time,Weekend,9.09,31.1,6
1476659,52463,33,31.33,3.0,33,23,56,52.0,4.0,14,Afternoon,1,Medium,On Time,Weekend,14.98,24.6,7
1477609,105068,28,16.01,5.0,26,16,42,52.0,-10.0,17,Evening,0,Low,Early,Weekend,5.97,38.9,8
1477616,128600,6,14.07,4.0,26,21,47,52.0,-5.0,16,Afternoon,0,Medium,Early,Weekend,1.29,22.8,9
1476769,71791,24,8.83,5.0,31,33,64,52.0,12.0,19,Evening,1,Jam,Slightly Delayed,Weekday,2.39,28.1,10
1477185,362068,25,33.03,5.0,35,21,56,52.0,4.0,14,Afternoon,1,Medium,On Time,Weekend,6.48,15.2,11
1477752,298824,15,16.25,3.0,30,24,54,52.0,2.0,16,Afternoon,0,Medium,On Time,Weekday,9.47,27.6,12
1477239,94524,60,22.36,4.0,28,18,46,52.0,-6.0,15,Afternoon,0,Medium,Early,Weekend,13.31,42.5,13
1476590,342107,25,16.83,4.0,26,20,46,52.0,-6.0,19,Evening,1,Medium,Early,Weekend,3.0,26.1,14
1478305,62359,53,8.0,4.0,27,29,56,52.0,4.0,9,Morning,0,High,On Time,Weekday,5.96,40.7,15
1476751,347181,18,16.01,5.0,29,22,51,52.0,-1.0,8,Morning,0,Medium,On Time,Weekend,8.7,19.0,16
1477831,60052,33,16.01,4.0,23,27,50,52.0,-2.0,23,Night,0,High,On Time,Weekday,12.73,24.2,17
1477955,198936,65,10.24,5.0,22,25,47,52.0,-5.0,14,Afternoon,1,Medium,Early,Weekday,9.26,27.4,18
1476568,348787,22,19.4,4.0,32,28,60,52.0,8.0,14,Afternoon,1,High,Slightly Delayed,Weekday,14.93,41.3,19
1478391,184325,66,19.35,4.0,34,24,58,52.0,6.0,21,Night,1,Medium,Slightly Delayed,Weekend,11.48,42.4,20
1476725,42935,8,13.97,5.0,29,25,54,52.0,2.0,15,Afternoon,0,Medium,On Time,Weekend,1.43,28.3,21
1476688,200672,21,13.0,5.0,21,15,36,52.0,-16.0,12,Afternoon,1,Low,Early,Weekend,13.93,15.6,22
1477102,75484,19,13.05,5.0,34,27,61,52.0,9.0,10,Morning,0,High,Slightly Delayed,Weekend,14.72,33.7,23
1476878,378027,33,8.49,5.0,24,16,40,52.0,-12.0,19,Evening,1,Low,Early,Weekend,5.72,28.1,24
1476805,93133,29,22.8,5.0,33,33,66,52.0,14.0,15,Afternoon,0,Jam,Slightly Delayed,Weekday,10.15,35.0,25
1478093,268958,8,20.18,5.0,29,19,48,52.0,-4.0,13,Afternoon,1,Medium,On Time,Weekend,9.13,41.7,26
1478201,370017,33,19.59,5.0,24,19,43,52.0,-9.0,18,Evening,1,Medium,Early,Weekend,13.92,21.7,27
1478032,146586,5,19.4,4.0,25,19,44,52.0,-8.0,10,Morning,0,Medium,Early,Weekend,12.6,17.8,28
1476606,350085,60,17.03,5.0,22,29,51,52.0,-1.0,8,Morning,0,High,On Time,Weekday,13.38,38.7,29
1477570,292343,67,16.11,4.0,30,26,56,52.0,4.0,10,Morning,0,High,On Time,Weekend,13.23,18.9,30
1476808,84700,68,14.6,3.0,32,24,56,52.0,4.0,12,Afternoon,1,Medium,On Time,Weekday,7.46,40.2,31
1476610,53212,28,12.27,5.0,26,29,55,52.0,3.0,22,Night,0,High,On Time,Weekday,10.84,18.0,32
1476875,373353,69,22.26,5.0,35,16,51,52.0,-1.0,21,Night,1,Low,On Time,Weekend,14.44,36.8,33
1476829,79255,60,6.79,5.0,26,15,41,52.0,-11.0,10,Morning,0,Low,Early,Weekend,5.01,23.3,34
1477366,275689,49,14.12,4.0,35,19,54,52.0,2.0,8,Morning,0,Medium,On Time,Weekend,7.35,41.1,35
1477774,354719,60,29.15,5.0,34,20,54,52.0,2.0,12,Afternoon,1,Medium,On Time,Weekend,4.24,18.5,36
